               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.045435,            0.012244,            0.029148,             0.91598,             0.87305,             0.93654,             0.65337,            0.025469,           0.0038659,             0.00742,            0.070011,           0.0033321,           0.0033321
                   1,            0.031372,           0.0081895,           0.0096169,             0.94528,              0.9486,             0.97371,             0.72523,             0.02162,           0.0034779,           0.0028099,            0.039945,           0.0065995,           0.0065995
                   2,            0.030137,           0.0083041,           0.0091996,             0.94767,             0.93828,             0.96777,             0.71501,            0.021805,           0.0035286,           0.0028944,           0.0098129,           0.0098008,           0.0098008
                   3,            0.028052,           0.0080361,           0.0081133,             0.96091,             0.96105,             0.98352,             0.77188,            0.018552,            0.003121,           0.0013987,            0.009703,            0.009703,            0.009703
                   4,            0.025296,           0.0074122,           0.0062828,             0.97286,             0.97319,             0.98879,             0.79891,            0.017289,            0.002932,           0.0010368,            0.009703,            0.009703,            0.009703
                   5,            0.023979,           0.0071335,           0.0054218,             0.98132,             0.97912,             0.99136,             0.81328,            0.016388,           0.0027822,          0.00068229,            0.009604,            0.009604,            0.009604
                   6,            0.023144,            0.006969,           0.0048297,             0.98063,             0.98068,             0.99203,             0.82286,            0.015822,           0.0027057,          0.00068823,            0.009505,            0.009505,            0.009505
                   7,            0.022609,           0.0068367,           0.0045458,             0.97987,             0.98418,              0.9921,             0.83029,             0.01543,           0.0026561,          0.00062192,            0.009406,            0.009406,            0.009406
                   8,            0.022284,           0.0067419,            0.004434,             0.97991,             0.98548,             0.99223,              0.8322,            0.015175,           0.0026278,          0.00052704,            0.009307,            0.009307,            0.009307
                   9,            0.021867,           0.0066546,           0.0041394,             0.98139,             0.98571,             0.99242,             0.83618,            0.014907,           0.0025971,          0.00047901,            0.009208,            0.009208,            0.009208
                  10,            0.021648,           0.0066086,           0.0039712,             0.98302,             0.98364,             0.99238,             0.83796,            0.014724,           0.0025799,          0.00046907,            0.009109,            0.009109,            0.009109
                  11,            0.021387,           0.0065549,           0.0038289,             0.98313,             0.98466,              0.9924,             0.84017,            0.014574,           0.0025654,            0.000451,             0.00901,             0.00901,             0.00901
                  12,            0.021221,           0.0065113,           0.0038846,             0.98203,             0.98698,             0.99245,             0.84102,            0.014477,            0.002556,           0.0004318,            0.008911,            0.008911,            0.008911
                  13,             0.02101,            0.006457,           0.0037112,             0.98048,               0.988,             0.99252,             0.84331,            0.014383,           0.0025462,          0.00041917,            0.008812,            0.008812,            0.008812
                  14,            0.020863,            0.006421,           0.0036069,              0.9818,             0.98811,             0.99257,             0.84428,            0.014301,           0.0025362,          0.00040933,            0.008713,            0.008713,            0.008713
                  15,             0.02061,           0.0063745,           0.0034186,             0.98292,             0.98799,             0.99262,             0.84566,            0.014235,           0.0025265,          0.00040055,            0.008614,            0.008614,            0.008614
                  16,            0.020542,           0.0063275,           0.0033662,             0.98303,             0.98905,             0.99272,             0.84675,            0.014164,           0.0025153,          0.00039381,            0.008515,            0.008515,            0.008515
                  17,            0.020333,           0.0063004,           0.0033827,             0.98308,             0.98923,             0.99282,             0.84799,            0.014092,           0.0025053,          0.00038631,            0.008416,            0.008416,            0.008416
                  18,             0.02024,           0.0062793,           0.0033082,              0.9845,             0.98887,             0.99288,              0.8489,            0.014009,           0.0024941,          0.00038127,            0.008317,            0.008317,            0.008317
                  19,            0.020167,           0.0062714,           0.0032569,             0.98456,             0.98924,              0.9929,             0.84933,             0.01394,           0.0024855,          0.00037814,            0.008218,            0.008218,            0.008218
                  20,             0.02002,           0.0062158,           0.0032159,             0.98554,             0.98863,             0.99295,             0.85031,            0.013865,           0.0024752,          0.00037592,            0.008119,            0.008119,            0.008119
                  21,            0.019873,           0.0061963,           0.0031147,             0.98591,             0.98926,             0.99301,             0.85129,            0.013805,           0.0024653,          0.00037205,             0.00802,             0.00802,             0.00802
                  22,            0.019729,           0.0061787,           0.0030806,             0.98729,             0.98911,             0.99309,             0.85247,            0.013728,           0.0024554,          0.00036601,            0.007921,            0.007921,            0.007921
                  23,              0.0197,           0.0061383,           0.0029866,             0.98692,             0.98971,             0.99317,              0.8535,            0.013669,           0.0024457,           0.0003622,            0.007822,            0.007822,            0.007822
                  24,            0.019541,           0.0061121,           0.0030063,             0.98666,              0.9902,             0.99324,             0.85405,            0.013598,           0.0024365,           0.0003565,            0.007723,            0.007723,            0.007723
                  25,            0.019469,           0.0061097,           0.0029266,             0.98676,             0.99023,             0.99328,               0.855,            0.013548,           0.0024273,          0.00035498,            0.007624,            0.007624,            0.007624
                  26,            0.019354,           0.0060892,           0.0029059,             0.98659,             0.99039,             0.99332,             0.85597,            0.013503,           0.0024177,          0.00034933,            0.007525,            0.007525,            0.007525
                  27,             0.01932,           0.0060614,           0.0028583,             0.98658,             0.99052,             0.99338,             0.85743,            0.013442,           0.0024093,          0.00034255,            0.007426,            0.007426,            0.007426
                  28,             0.01922,           0.0060159,           0.0028319,             0.98675,             0.99046,             0.99343,             0.85842,            0.013366,           0.0024007,          0.00033432,            0.007327,            0.007327,            0.007327
                  29,             0.01916,           0.0060055,           0.0027838,             0.98743,             0.99067,             0.99348,             0.85965,            0.013299,           0.0023931,          0.00032649,            0.007228,            0.007228,            0.007228
                  30,            0.019079,           0.0060032,           0.0028111,             0.98767,             0.99069,              0.9935,             0.86076,            0.013238,           0.0023862,          0.00032018,            0.007129,            0.007129,            0.007129
                  31,            0.018859,           0.0059492,           0.0026765,             0.98785,             0.99061,              0.9935,             0.86159,            0.013175,            0.002379,          0.00031639,             0.00703,             0.00703,             0.00703
                  32,            0.018865,           0.0059595,           0.0026577,             0.98772,             0.99091,             0.99354,             0.86206,            0.013119,           0.0023722,          0.00031496,            0.006931,            0.006931,            0.006931
                  33,            0.018754,           0.0058934,           0.0025629,             0.98724,             0.99101,             0.99354,             0.86293,             0.01306,           0.0023646,          0.00031091,            0.006832,            0.006832,            0.006832
                  34,            0.018643,           0.0058977,           0.0025411,             0.98736,             0.99113,             0.99355,             0.86403,            0.013009,           0.0023553,          0.00030853,            0.006733,            0.006733,            0.006733
                  35,            0.018592,           0.0058857,           0.0025141,             0.98786,              0.9914,             0.99355,             0.86504,            0.012949,           0.0023468,          0.00030517,            0.006634,            0.006634,            0.006634
                  36,            0.018476,           0.0058808,           0.0024854,             0.98827,             0.99149,             0.99358,             0.86513,            0.012882,           0.0023392,          0.00030043,            0.006535,            0.006535,            0.006535
                  37,            0.018386,           0.0058541,           0.0024831,             0.98856,             0.99166,              0.9936,             0.86666,            0.012825,           0.0023325,          0.00029424,            0.006436,            0.006436,            0.006436
                  38,             0.01828,            0.005856,           0.0024911,             0.98911,             0.99184,             0.99363,             0.86761,            0.012772,           0.0023249,          0.00029013,            0.006337,            0.006337,            0.006337
                  39,            0.018308,           0.0058149,           0.0024604,             0.98925,              0.9917,             0.99368,             0.86749,            0.012724,           0.0023169,          0.00028756,            0.006238,            0.006238,            0.006238
                  40,            0.018101,           0.0057742,           0.0023595,             0.98921,              0.9916,              0.9937,             0.86868,            0.012665,           0.0023092,          0.00028481,            0.006139,            0.006139,            0.006139
                  41,            0.018019,           0.0057382,           0.0023203,             0.98968,             0.99197,             0.99372,             0.86946,            0.012607,           0.0023018,          0.00028319,             0.00604,             0.00604,             0.00604
                  42,            0.018016,           0.0057591,           0.0023099,             0.98973,               0.992,             0.99375,             0.86974,            0.012554,            0.002295,          0.00028112,            0.005941,            0.005941,            0.005941
                  43,            0.017873,           0.0057119,           0.0022416,             0.98999,             0.99205,             0.99374,             0.87086,            0.012505,           0.0022879,          0.00027828,            0.005842,            0.005842,            0.005842
                  44,            0.017854,           0.0057147,           0.0022662,             0.99013,             0.99192,             0.99373,             0.87132,            0.012455,            0.002281,          0.00027308,            0.005743,            0.005743,            0.005743
                  45,            0.017792,           0.0056943,           0.0022677,              0.9901,             0.99185,             0.99375,              0.8717,            0.012406,           0.0022743,          0.00026904,            0.005644,            0.005644,            0.005644
                  46,             0.01763,           0.0056762,           0.0021869,              0.9904,             0.99217,             0.99375,             0.87213,            0.012366,           0.0022675,          0.00026788,            0.005545,            0.005545,            0.005545
