                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.5134,                 3.7692,                  3.211,                0.65519,                0.58304,                0.61084,                0.39369,                 1.3153,                 1.4649,                 1.9919,              0.0033321,              0.0033321,              0.0033321
                      2,                 1.2359,                 1.3776,                 1.6651,                0.91418,                0.81397,                0.89646,                0.67192,                0.92676,                0.75148,                 1.4196,              0.0065995,              0.0065995,              0.0065995
                      3,                 1.0814,                 1.0629,                 1.4722,                0.93244,                0.85942,                0.92858,                0.72503,                0.83594,                 0.6215,                 1.2955,              0.0098008,              0.0098008,              0.0098008
                      4,                0.98984,                0.91121,                 1.3819,                0.94299,                0.89958,                0.95489,                0.77641,                0.73902,                0.48795,                 1.2068,               0.009703,               0.009703,               0.009703
                      5,                0.90413,                  0.772,                 1.3045,                0.95366,                0.92732,                0.96962,                0.80351,                0.69712,                0.42082,                 1.1599,               0.009703,               0.009703,               0.009703
                      6,                0.85353,                0.69884,                 1.2636,                0.96031,                0.94201,                0.97638,                0.81939,                0.66259,                0.38213,                 1.1293,               0.009604,               0.009604,               0.009604
                      7,                0.82545,                0.65552,                 1.2384,                0.96661,                0.94765,                0.98077,                0.83134,                0.64143,                0.35904,                 1.1056,               0.009505,               0.009505,               0.009505
                      8,                0.80325,                0.62652,                 1.2203,                 0.9664,                 0.9541,                0.98134,                0.83882,                0.62311,                0.34397,                 1.0929,               0.009406,               0.009406,               0.009406
                      9,                0.78554,                0.60178,                 1.2051,                0.96278,                0.96374,                0.98243,                0.84283,                0.61272,                 0.3297,                 1.0817,               0.009307,               0.009307,               0.009307
                     10,                0.77015,                0.58215,                 1.1893,                0.96969,                0.96192,                0.98313,                0.84726,                0.60265,                0.32087,                 1.0697,               0.009208,               0.009208,               0.009208
                     11,                0.75733,                0.56345,                 1.1801,                0.97294,                0.96247,                 0.9839,                 0.8501,                0.59538,                0.31431,                 1.0631,               0.009109,               0.009109,               0.009109
                     12,                0.74853,                0.55081,                 1.1727,                0.97125,                0.96571,                0.98445,                0.85298,                0.59062,                0.30961,                 1.0595,                0.00901,                0.00901,                0.00901
                     13,                0.73826,                0.53606,                 1.1628,                0.97352,                0.96675,                0.98496,                0.85507,                0.58728,                0.30551,                 1.0559,               0.008911,               0.008911,               0.008911
                     14,                0.73236,                0.53328,                 1.1615,                0.97238,                0.96833,                0.98521,                0.85671,                0.58406,                0.30258,                 1.0528,               0.008812,               0.008812,               0.008812
                     15,                0.72582,                0.52399,                 1.1536,                0.97107,                0.97129,                0.98571,                0.85859,                0.58034,                0.29995,                 1.0488,               0.008713,               0.008713,               0.008713
                     16,                0.71726,                 0.5145,                  1.146,                  0.972,                0.97121,                 0.9861,                0.86084,                 0.5772,                0.29722,                 1.0455,               0.008614,               0.008614,               0.008614
                     17,                0.71131,                0.50388,                 1.1397,                0.97274,                0.97108,                0.98626,                0.86213,                0.57391,                0.29448,                  1.042,               0.008515,               0.008515,               0.008515
                     18,                0.71009,                0.50007,                 1.1391,                0.97225,                0.97301,                0.98726,                0.86359,                0.57081,                0.29133,                 1.0389,               0.008416,               0.008416,               0.008416
                     19,                0.70417,                0.49565,                 1.1364,                0.97253,                0.97406,                0.98719,                0.86537,                0.56735,                0.28839,                 1.0357,               0.008317,               0.008317,               0.008317
